date,day,nominations_close,options,scratchings_close,status,time_slot,track,url
18/03/2018,Sunday,14/03/2018 01:00:00 PM,,17/03/2018 04:00:00 PM,Results Finalised,Day,Sandown (SAP),https://fasttrack.grv.org.au/Meeting/Details/228694105
19/03/2018,Monday,14/03/2018 11:00:00 AM,,18/03/2018 04:00:00 PM,Results Finalised,Day,Ballarat,https://fasttrack.grv.org.au/Meeting/Details/228694106
19/03/2018,Monday,15/03/2018 09:00:00 AM,,19/03/2018 08:30:00 AM,Results Finalised,Twilight,Traralgon,https://fasttrack.grv.org.au/Meeting/Details/228694163
19/03/2018,Monday,15/03/2018 10:00:00 AM,,19/03/2018 08:30:00 AM,Results Finalised,Night,Shepparton,https://fasttrack.grv.org.au/Meeting/Details/288100053
20/03/2018,Tuesday,15/03/2018 11:00:00 AM,,20/03/2018 08:30:00 AM,Results Finalised,Twilight,Horsham,https://fasttrack.grv.org.au/Meeting/Details/228694108
20/03/2018,Tuesday,15/03/2018 12:00:00 PM,,20/03/2018 08:30:00 AM,Results Finalised,Night,Traralgon,https://fasttrack.grv.org.au/Meeting/Details/282809490
20/03/2018,Tuesday,15/03/2018 11:00:00 AM,,20/03/2018 08:30:00 AM,Results Finalised,Twilight,Geelong,https://fasttrack.grv.org.au/Meeting/Details/288100554
21/03/2018,Wednesday,16/03/2018 11:00:00 AM,,21/03/2018 08:30:00 AM,Results Finalised,Night,Ballarat,https://fasttrack.grv.org.au/Meeting/Details/228694111
21/03/2018,Wednesday,16/03/2018 11:00:00 AM,,21/03/2018 08:30:00 AM,Results Finalised,Night,Cranbourne,https://fasttrack.grv.org.au/Meeting/Details/228694112
21/03/2018,Wednesday,16/03/2018 09:00:00 AM,,20/03/2018 04:00:00 PM,Results Finalised,Day,Meadows (MEP),https://fasttrack.grv.org.au/Meeting/Details/228694113
21/03/2018,Wednesday,19/03/2018 08:30:00 AM,,21/03/2018 08:30:00 AM,Results Finalised,Twilight,Warrnambool,https://fasttrack.grv.org.au/Meeting/Details/228694119
22/03/2018,Thursday,19/03/2018 09:00:00 AM,,22/03/2018 08:30:00 AM,Results Finalised,Night,Bendigo,https://fasttrack.grv.org.au/Meeting/Details/228694120
